Year,District,Plant Month,Crop,Rainfall(mm),Temperature(C),Humidity(%),Soil pH,Growing Days,Harvest Month,Harvest Price(LKR/kg)
2015,Anuradhapura,January,Paddy,97,20.3,77,5.9,120,May,183.42
2015,Anuradhapura,February,Paddy,92,28.8,65,6.5,120,June,169.2
2015,Anuradhapura,March,Paddy,87,22.8,92,6.5,120,July,239.08
2015,Anuradhapura,April,Paddy,319,25.5,88,6.5,120,August,271.84
2015,Anuradhapura,May,Paddy,43,29.9,70,6.7,120,September,209.91
2015,Anuradhapura,June,Paddy,119,22.8,81,5.7,120,October,215.15
2015,Anuradhapura,July,Paddy,223,31,76,6.9,120,November,261.32
2015,Anuradhapura,August,Paddy,314,21.6,84,5.6,120,December,203.7
2015,Anuradhapura,September,Paddy,225,27.5,64,5.6,120,January,195.08
2015,Anuradhapura,October,Paddy,188,32.8,74,7,120,February,215.18
2015,Anuradhapura,November,Paddy,272,28.3,83,5.8,120,March,211.9
2015,Anuradhapura,December,Paddy,176,29.1,64,6.5,120,April,187.59
2015,Anuradhapura,January,Tomato,165,22.1,84,6,90,April,287.15
2015,Anuradhapura,February,Tomato,152,28.9,63,5.9,90,May,169.24
2015,Anuradhapura,March,Tomato,201,25.2,64,5.9,90,June,289.46
2015,Anuradhapura,April,Tomato,201,22.8,91,6.2,90,July,285.72
2015,Anuradhapura,May,Tomato,274,21.9,68,5.9,90,August,239.1
2015,Anuradhapura,June,Tomato,174,29.7,87,7,90,September,217.72
2015,Anuradhapura,July,Tomato,152,33,68,6.4,90,October,177
2015,Anuradhapura,August,Tomato,64,31.2,69,6.6,90,November,269.55
2015,Anuradhapura,September,Tomato,256,27.8,84,6.1,90,December,296.49
2015,Anuradhapura,October,Tomato,310,23.3,60,6.7,90,January,180.12
2015,Anuradhapura,November,Tomato,314,29.8,81,5.7,90,February,222.39
2015,Anuradhapura,December,Tomato,272,20,76,7.2,90,March,265.58
2015,Anuradhapura,January,Chili,299,31.9,79,6.9,150,June,790.95
2015,Anuradhapura,February,Chili,141,22,70,6.4,150,July,912.88
2015,Anuradhapura,March,Chili,311,31.9,80,6.3,150,August,612.84
2015,Anuradhapura,April,Chili,225,31.4,79,5.9,150,September,670.89
2015,Anuradhapura,May,Chili,80,21.1,91,6.9,150,October,1002.59
2015,Anuradhapura,June,Chili,312,30,68,6.6,150,November,988.58
2015,Anuradhapura,July,Chili,124,23.4,87,7.1,150,December,980.51
2015,Anuradhapura,August,Chili,142,29.3,85,7.2,150,January,854.95
2015,Anuradhapura,September,Chili,264,31.7,88,5.7,150,February,663.61
2015,Anuradhapura,October,Chili,213,20.3,74,6.5,150,March,565.74
2015,Anuradhapura,November,Chili,70,23,62,7,150,April,594.39
2015,Anuradhapura,December,Chili,161,23.6,91,5.9,150,May,622.04
2015,Anuradhapura,January,Big Onion,282,23.2,90,6.9,105,May,216.06
2015,Anuradhapura,February,Big Onion,89,28.6,82,6.2,105,June,257.55
2015,Anuradhapura,March,Big Onion,67,28.8,66,5.6,105,July,296.73
2015,Anuradhapura,April,Big Onion,95,23.2,72,6.4,105,August,208.53
2015,Anuradhapura,May,Big Onion,133,23.6,75,7,105,September,198.81
2015,Anuradhapura,June,Big Onion,90,20.7,60,7.1,105,October,326.46
2015,Anuradhapura,July,Big Onion,161,22.2,91,6.3,105,November,317.2
2015,Anuradhapura,August,Big Onion,70,22.1,60,7.2,105,December,227.28
2015,Anuradhapura,September,Big Onion,272,23.7,91,5.8,105,January,232.01
2015,Anuradhapura,October,Big Onion,69,27.5,63,6.8,105,February,196.07
2015,Anuradhapura,November,Big Onion,284,26.5,70,5.6,105,March,263.67
2015,Anuradhapura,December,Big Onion,135,20.9,64,6.6,105,April,222.78
2015,Anuradhapura,January,Red Onion,101,32.2,75,6.5,95,April,270.85
2015,Anuradhapura,February,Red Onion,81,25.4,80,7.1,95,May,305.39
2015,Anuradhapura,March,Red Onion,200,23.1,85,5.7,95,June,398.06
2015,Anuradhapura,April,Red Onion,274,24.1,64,5.5,95,July,392.94
2015,Anuradhapura,May,Red Onion,91,21,73,6.4,95,August,290.32
2015,Anuradhapura,June,Red Onion,218,31.5,75,6.1,95,September,295.63
2015,Anuradhapura,July,Red Onion,318,29.1,60,6.6,95,October,378.97
2015,Anuradhapura,August,Red Onion,93,32.2,68,5.9,95,November,449.34
2015,Anuradhapura,September,Red Onion,119,23.5,73,6.7,95,December,305.26
2015,Anuradhapura,October,Red Onion,175,26.6,76,7,95,January,440.18
2015,Anuradhapura,November,Red Onion,87,28.2,77,5.6,95,February,332.55
2015,Anuradhapura,December,Red Onion,106,28.3,76,5.8,95,March,355.29
2015,Anuradhapura,January,Potato,258,27.3,67,5.6,110,May,383.96
2015,Anuradhapura,February,Potato,116,27.1,83,6.5,110,June,251.66
2015,Anuradhapura,March,Potato,105,20.5,83,7,110,July,368.3
2015,Anuradhapura,April,Potato,60,31.7,73,6.7,110,August,345.05
2015,Anuradhapura,May,Potato,221,30.1,86,7.2,110,September,359.91
2015,Anuradhapura,June,Potato,161,31.2,71,7,110,October,229.46
2015,Anuradhapura,July,Potato,210,30.2,86,6.9,110,November,380.53
2015,Anuradhapura,August,Potato,167,23.5,66,6.2,110,December,231.97
2015,Anuradhapura,September,Potato,280,22.9,89,6.1,110,January,372.7
2015,Anuradhapura,October,Potato,156,22.9,72,6.2,110,February,275.15
2015,Anuradhapura,November,Potato,75,32.6,77,6.1,110,March,316.69
2015,Anuradhapura,December,Potato,314,24.3,61,5.7,110,April,399.67
2015,Anuradhapura,January,Beans,131,27.5,76,5.6,75,March,443.18
2015,Anuradhapura,February,Beans,216,29.5,80,6.2,75,April,536.22
2015,Anuradhapura,March,Beans,99,25,72,5.9,75,May,470.11
2015,Anuradhapura,April,Beans,40,26.8,72,6.1,75,June,316.79
2015,Anuradhapura,May,Beans,209,28.1,67,6.7,75,July,372.08
2015,Anuradhapura,June,Beans,198,28.7,80,6.2,75,August,370.96
2015,Anuradhapura,July,Beans,105,22.5,84,6.7,75,September,516.67
2015,Anuradhapura,August,Beans,194,25.3,60,6,75,October,350.44
2015,Anuradhapura,September,Beans,204,26,88,6.6,75,November,422.68
2015,Anuradhapura,October,Beans,126,28.6,78,6.4,75,December,451.91
2015,Anuradhapura,November,Beans,211,21.2,75,6.6,75,January,353.91
2015,Anuradhapura,December,Beans,141,21.9,62,5.9,75,February,414.03
2015,Anuradhapura,January,Carrot,77,25.9,72,6.7,95,April,323.53
2015,Anuradhapura,February,Carrot,244,23.2,60,7,95,May,417.87
2015,Anuradhapura,March,Carrot,94,30.1,74,5.8,95,June,437.18
2015,Anuradhapura,April,Carrot,305,26,75,7.1,95,July,271.53
2015,Anuradhapura,May,Carrot,108,30.4,80,7.1,95,August,424
2015,Anuradhapura,June,Carrot,298,25.5,88,7,95,September,394.74
2015,Anuradhapura,July,Carrot,283,25.9,75,6.9,95,October,302.41
2015,Anuradhapura,August,Carrot,306,26.3,75,6,95,November,262.84
2015,Anuradhapura,September,Carrot,186,23,81,6,95,December,354.45
2015,Anuradhapura,October,Carrot,110,22,84,6.7,95,January,387.37
2015,Anuradhapura,November,Carrot,72,25.4,81,6.4,95,February,329.82
2015,Anuradhapura,December,Carrot,145,30.8,84,7,95,March,363.15
2015,Anuradhapura,January,Cabbage,50,31.1,84,6.3,90,April,236.82
2015,Anuradhapura,February,Cabbage,192,29.8,86,6.4,90,May,214.34
2015,Anuradhapura,March,Cabbage,152,26.3,77,6.2,90,June,138.13
2015,Anuradhapura,April,Cabbage,212,28.7,85,6.7,90,July,225.77
2015,Anuradhapura,May,Cabbage,105,32.7,61,7,90,August,198.92
2015,Anuradhapura,June,Cabbage,53,21.1,87,5.7,90,September,184.86
2015,Anuradhapura,July,Cabbage,65,23.4,80,5.9,90,October,170.3
2015,Anuradhapura,August,Cabbage,234,23.6,86,5.9,90,November,143.85
2015,Anuradhapura,September,Cabbage,49,29.7,63,7.2,90,December,172.8
2015,Anuradhapura,October,Cabbage,75,30.2,62,6.8,90,January,237.56
2015,Anuradhapura,November,Cabbage,142,30.9,69,5.9,90,February,186.14
2015,Anuradhapura,December,Cabbage,98,27.3,73,6.3,90,March,162.67
2015,Anuradhapura,January,Green Gram,228,22.2,67,6.8,70,March,220.55
2015,Anuradhapura,February,Green Gram,199,21.4,61,7.1,70,April,284.82
2015,Anuradhapura,March,Green Gram,232,25.2,72,5.6,70,May,302.74
2015,Anuradhapura,April,Green Gram,164,21.3,79,6.9,70,June,288.66
2015,Anuradhapura,May,Green Gram,101,30.4,62,6.1,70,July,261.83
2015,Anuradhapura,June,Green Gram,229,20.9,81,5.5,70,August,260.53
2015,Anuradhapura,July,Green Gram,290,21.4,83,6.6,70,September,324.28
2015,Anuradhapura,August,Green Gram,118,25.7,77,6.5,70,October,338.46
2015,Anuradhapura,September,Green Gram,287,26,77,6,70,November,233.3
2015,Anuradhapura,October,Green Gram,84,23.6,88,5.9,70,December,267.49
2015,Anuradhapura,November,Green Gram,234,24.4,91,6.9,70,January,223.37
2015,Anuradhapura,December,Green Gram,148,24.6,76,6.1,70,February,332.33
2015,Anuradhapura,January,Cowpea,181,27.2,72,5.6,70,March,330.97
2015,Anuradhapura,February,Cowpea,290,27.2,75,6.7,70,April,318.51
2015,Anuradhapura,March,Cowpea,291,25.8,61,5.7,70,May,247.23
2015,Anuradhapura,April,Cowpea,164,24,83,6.3,70,June,299.19
2015,Anuradhapura,May,Cowpea,257,33,81,6.1,70,July,286.23
2015,Anuradhapura,June,Cowpea,196,23.3,67,6.7,70,August,263.01
2015,Anuradhapura,July,Cowpea,314,32.4,71,5.8,70,September,334.09
2015,Anuradhapura,August,Cowpea,181,29.4,78,7.2,70,October,349.88
2015,Anuradhapura,September,Cowpea,191,23,71,6,70,November,328.95
2015,Anuradhapura,October,Cowpea,104,23.6,63,6.4,70,December,327.17
2015,Anuradhapura,November,Cowpea,104,28.3,91,5.7,70,January,212.06
2015,Anuradhapura,December,Cowpea,185,26.1,88,6.1,70,February,372.2
2015,Anuradhapura,January,Groundnut,169,32.2,90,5.7,110,May,299.9
2015,Anuradhapura,February,Groundnut,291,21,63,5.8,110,June,469.94
2015,Anuradhapura,March,Groundnut,195,21.1,75,5.7,110,July,459.29
2015,Anuradhapura,April,Groundnut,155,30.1,84,6.3,110,August,385.94
2015,Anuradhapura,May,Groundnut,259,24,63,6.5,110,September,453.74
2015,Anuradhapura,June,Groundnut,146,28.1,76,6.6,110,October,320.81
2015,Anuradhapura,July,Groundnut,128,27.2,70,5.5,110,November,387.71
2015,Anuradhapura,August,Groundnut,280,23.8,74,6,110,December,349.46
2015,Anuradhapura,September,Groundnut,272,20.9,74,7.1,110,January,464.62
2015,Anuradhapura,October,Groundnut,141,25.5,74,6.6,110,February,492.12
2015,Anuradhapura,November,Groundnut,112,20.9,70,6.8,110,March,420.67
2015,Anuradhapura,December,Groundnut,187,25.7,89,6.7,110,April,444.54
2015,Anuradhapura,January,Maize,179,26.5,91,6.2,100,April,166.32
2015,Anuradhapura,February,Maize,261,29.5,76,5.5,100,May,133.1
2015,Anuradhapura,March,Maize,50,33,77,6.5,100,June,181.18
2015,Anuradhapura,April,Maize,129,26.1,88,7.1,100,July,128.83
2015,Anuradhapura,May,Maize,263,28.3,91,7.1,100,August,154.8
2015,Anuradhapura,June,Maize,249,24.3,66,7,100,September,142.18
2015,Anuradhapura,July,Maize,293,23.7,85,6.9,100,October,162.01
2015,Anuradhapura,August,Maize,272,21.1,76,6,100,November,199.82
2015,Anuradhapura,September,Maize,246,31.2,60,6.6,100,December,161.33
2015,Anuradhapura,October,Maize,251,20.7,83,6.6,100,January,157.36
2015,Anuradhapura,November,Maize,266,29.9,73,6,100,February,124.29
