,count,mean,std,min,25%,50%,75%,max
District_enc,45000.0,12.0,7.211,0.0,6.0,12.0,18.0,24.0
Plant Month Num,45000.0,6.5,3.452,1.0,3.75,6.5,9.25,12.0
Rainfall(mm),45000.0,179.702,81.372,40.0,109.0,179.0,251.0,320.0
Temperature(C),45000.0,26.528,3.763,20.0,23.3,26.5,29.8,33.0
Humidity(%),45000.0,76.028,9.517,60.0,68.0,76.0,84.0,92.0
Soil pH,45000.0,6.348,0.492,5.5,5.9,6.3,6.8,7.2
Temp_Humidity,45000.0,20.168,3.828,12.0,17.328,19.84,22.849,30.36
pH_deviation,45000.0,0.675,0.46,0.0,0.2,0.7,1.1,1.5
Rain_Temp,45000.0,4767.501,2284.844,800.0,2840.725,4653.0,6513.6,10496.0
Rain_Humidity,45000.0,136.617,64.677,24.4,81.6,134.225,187.11,294.4
Temp_pH,45000.0,168.419,27.362,110.0,146.72,167.5,188.5,237.6
Humidity_pH,45000.0,482.638,71.189,330.0,427.8,480.0,534.0,662.4
Month_Rain,45000.0,1168.438,861.352,40.0,470.0,952.0,1705.0,3840.0
District_Month,45000.0,78.0,67.326,0.0,22.0,60.0,120.0,288.0
